Country	InDelta_Citation_ij	Year	Field
Black	-1.3316896337760078	1994.0	115903868
Hispanic	-0.3185673422712053	1994.0	115903868
API	0.3851910604293084	1995.0	115903868
White	0.6378098938330178	1995.0	115903868
Black	-0.27553541672517	1995.0	115903868
Hispanic	-0.7474655375371562	1995.0	115903868
API	0.7680024831240803	1996.0	115903868
White	0.4991576705430727	1996.0	115903868
Black	-0.6889182542691487	1996.0	115903868
Hispanic	-0.5782418993980046	1996.0	115903868
API	0.789072931706798	1997.0	115903868
White	0.5821277253966138	1997.0	115903868
Black	-1.0017711631114583	1997.0	115903868
Hispanic	-0.3694294939919509	1997.0	115903868
API	0.479111490198709	1998.0	115903868
White	0.6069076963760535	1998.0	115903868
Black	-0.2544339763250464	1998.0	115903868
Hispanic	-0.831585210249716	1998.0	115903868
Black	-0.3315292874297126	1999.0	115903868
Hispanic	-0.4446662886963659	1999.0	115903868
White	0.4697849388294038	1999.0	115903868
API	0.7422333914804922	1999.0	115903868
API	0.651138826064661	2000.0	115903868
White	0.6691843273053338	2000.0	115903868
Black	-0.6563550083247142	2000.0	115903868
Hispanic	-0.663968145045281	2000.0	115903868
API	0.9194983745825858	2001.0	115903868
White	0.8097786030432843	2001.0	115903868
Black	-1.287814064424322	2001.0	115903868
Hispanic	-0.4414629132015472	2001.0	115903868
API	1.0117432769093242	2002.0	115903868
White	0.9160396541630064	2002.0	115903868
Black	-1.4716600927066037	2002.0	115903868
Hispanic	-0.456122838365727	2002.0	115903868
API	0.6617258120982453	2003.0	115903868
White	0.6159884911400638	2003.0	115903868
Black	-0.6110711280849167	2003.0	115903868
Hispanic	-0.6666431751533924	2003.0	115903868
Black	-0.9900833750934568	2004.0	115903868
Hispanic	-0.5838526011852814	2004.0	115903868
White	0.6394541815478001	2004.0	115903868
API	0.5539650257912494	2004.0	115903868
API	0.8519529931030513	2005.0	115903868
White	0.7928332700019068	2005.0	115903868
Black	-1.2288961819025377	2005.0	115903868
Hispanic	-0.4158900812024201	2005.0	115903868
Black	-0.7136393048105065	2006.0	115903868
Hispanic	-0.4375162982604759	2006.0	115903868
White	0.5319134326011421	2006.0	115903868
API	0.6319882329852251	2006.0	115903868
API	0.6467441170630908	2007.0	115903868
White	0.6352276052671251	2007.0	115903868
Black	-0.5107249497906022	2007.0	115903868
Hispanic	-0.7712467725396136	2007.0	115903868
API	0.8437407811818837	2008.0	115903868
White	0.794960875378437	2008.0	115903868
Black	-1.0088483861397457	2008.0	115903868
Hispanic	-0.6298532704205754	2008.0	115903868
API	0.7045277190901394	2009.0	115903868
White	0.8151919194596133	2009.0	115903868
Black	-1.0975135434088106	2009.0	115903868
Hispanic	-0.4222060951409411	2009.0	115903868
API	0.84093693456988	2010.0	115903868
White	0.7426449125517056	2010.0	115903868
Black	-1.126323516421295	2010.0	115903868
Hispanic	-0.457258330700292	2010.0	115903868
API	0.7529067385488118	2011.0	115903868
White	0.7819787056997883	2011.0	115903868
Black	-1.1146385235700094	2011.0	115903868
Hispanic	-0.420246920678589	2011.0	115903868
API	0.6059434987666108	2012.0	115903868
White	0.7638042039489474	2012.0	115903868
Black	-0.6773280191219154	2012.0	115903868
Hispanic	-0.6924196835936435	2012.0	115903868
API	0.5512838870536426	2013.0	115903868
White	0.9229837761949888	2013.0	115903868
Black	-1.0531106348422654	2013.0	115903868
Hispanic	-0.4211570284063661	2013.0	115903868
API	0.6912026643463741	2014.0	115903868
White	0.9484971069881382	2014.0	115903868
Black	-1.1786001711136629	2014.0	115903868
Hispanic	-0.4610996002208494	2014.0	115903868
API	0.5893105442363271	2015.0	115903868
White	0.957194106415141	2015.0	115903868
Black	-1.0433845300688591	2015.0	115903868
Hispanic	-0.5031201205826087	2015.0	115903868
API	0.7308542939624755	2016.0	115903868
White	0.9057884659350326	2016.0	115903868
Black	-1.059146472960214	2016.0	115903868
Hispanic	-0.577496286937293	2016.0	115903868
Black	-0.7525002841551032	2017.0	115903868
Hispanic	-0.2841651928709657	2017.0	115903868
White	0.8175481731454066	2017.0	115903868
API	0.7342370522766897	2017.0	115903868
